timestamp,chainId,dexId,pairAddress,baseToken_address,baseToken_name,baseToken_symbol,quoteToken_address,quoteToken_name,quoteToken_symbol,liquidity_usd,fdv,marketCap,txns_m5_buys,txns_m5_sells,txns_h1_buys,txns_h1_sells,priceUsd,priceChange_m5,priceChange_h1,priceChange_h6,priceChange_h24,pairCreatedAt_ms
2026-04-17 05:06:27.173631,base,aerodrome,0xb30540172F1B37d1eE1d109e49F883E935E69219,0x311935Cd80B76769bF2ecC9D8Ab7635b2139cf82,Solana,SOL,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USD Coin,USDC,178796.28,5066741.0,5066741.0,8,13,113,112,87.84,-0.16,-0.06,-1.3,3.02,
2026-04-17 05:06:27.173631,solana,raydium,4rV2dydmASGs9ZaZVcMqNUN4rgmyYvzSBGB5EGAVKPyn,DbJdkvEoSW9383yzo6jKDGMx381JELMENbkgUcrbbonk,Meme Coin,MEME,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,3007.63,1515.0,1515.0,0,0,0,0,1.515e-06,,,,,1753737594000.0
2026-04-17 05:06:27.173631,solana,raydium,FpaA7VjY8VEWeCYXugVKpKGFvcXLAVze21a2RsDTtz72,9wSwEstJ1YhiSnhkEE72Km2R6ihVvXX3vLN5cKj2pump,meme coin,meme,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,2979.19,1500.0,1500.0,0,0,0,0,1.499e-06,,,,,1723068170000.0
2026-04-17 05:06:27.173631,solana,pumpfun,HFztmwo93GdKtj2kaV4x3gsnjJv9w4p2GaXuba4UHgku,J3aizgLbVtrqPUp3QBqqUFWyfN2BQRGnNxbue1tibbKK,Meme coin,Meme,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,,2389.82,2389.82,0,0,0,0,2.389e-06,,,,,
2026-04-17 05:06:27.173631,solana,meteora,9DiruRpjnAnzhn6ts5HGLouHtJrT1JGsPbXNYCrFz2ad,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,Melania Meme,MELANIA,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,13825924.65,114863665.0,109407307.0,0,0,2,1,0.1148,,,6.19,11.61,1737320909000.0
2026-04-17 05:06:27.173631,solana,raydium,8TEu1NTUbMkUnLMw8USnhdWpyGCM1mD6NvKwc65LDMz2,5LS3ips7jWxfuVHzoMzKzp3cCwjH9zmrtYXmYBVGpump,Digital Oil Memecoin,Oil,So11111111111111111111111111111111111111112,Wrapped SOL,SOL,101566.29,168035.0,168035.0,0,0,0,1,0.0001681,,0.13,-1.78,-0.17,1737650184000.0
2026-04-17 05:06:27.173631,ton,dedust,EQBhi3261F0w9I3wqLv3AMuGGB6U-G7666rPMnDALHfUb767,EQATcUc69sGSCCMSadsVUKdGwM1BMKS-HKCWGPk60xZGgwsK,TON FISH MEMECOIN,FISH,EQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM9c,Toncoin,TON,124782.14,841662.0,611816.0,0,0,1,0,2.034e-09,,0.26,0.31,0.69,1704735132000.0
2026-04-17 05:06:27.173631,base,aerodrome,0x088a81Ad942008b480970B71687e736871C7f56e,0x83190636c344Cf1220ffcBFc0C1198f7867b3667,JOOCE Memecoin Index,JMX,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USD Coin,USDC,188410.9,276821.0,276821.0,0,0,0,0,0.1561,,,,5.46,1738767265000.0
2026-04-17 05:06:27.173631,ton,dedust,EQApAQzWrHQFReeu92xG_vaWFgL30GEQvfTZca4ZyLeNftrK,EQAWpz2_G0NKxlG2VvgFbgZGPt8Y1qe0cGj-4Yw5BfmYR5iF,Not Meme,MEM,EQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM9c,Toncoin,TON,205852.88,411536.0,411536.0,0,0,0,0,8.23e-05,,,,1.3,1713015892000.0
2026-04-17 05:06:27.173631,ton,stonfi,EQCVflRjTn91FKGZzy2UTHgLn3hG3TsOlQIsAOPcB57K5gT5,EQATcUc69sGSCCMSadsVUKdGwM1BMKS-HKCWGPk60xZGgwsK,TON FISH MEMECOIN,FISH,EQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAM9c,TON,TON,77303.03,795778.0,598545.0,0,0,0,0,1.989e-09,,,,-0.34,1704037285000.0
2026-04-17 05:06:27.173631,base,uniswap,0x43F34A518e20B9454C94bf4026EC9024eD84a062,0xdd3acDBDc7b358Df453a6CB6bCA56C92aA5743aA,MEME.ssi,MEME.ssi,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USD Coin,USDC,497514.37,618813.0,618813.0,1,1,1,1,0.2323,-1.11,-1.11,-2.2,0.52,1734654645000.0
2026-04-17 05:06:27.173631,solana,raydium,8T8xgTCWpDgM6aQ32nfmK5gr3h4hMyXktNPQkqNmT6qs,6oZaFGja7XWJNHRmDxDMCwdTeAWvzFg3ER2aMt113DWx,MemeCore,M,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD Coin,USDC,2162309.81,2402552.0,2402552.0,0,0,0,0,2.4,,,,-0.15,1774516661000.0
2026-04-17 05:06:27.173631,base,uniswap,0x4b982be2e66d1d709d85e8619f2b2a8b1161f21cf1b337bbb5adbc26dbe5500d,0xa244811944E442da247b220F79eA8ddBc99C9Bb8,MEMELESS,MEMELESS COIN,0x0000000000000000000000000000000000000000,Ether,ETH,186425.43,233032.0,233032.0,0,0,0,0,0.000233,,,,-1.48,1751937141000.0
